S.No,Message/Tweet,Match,Polarity
47,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
48,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
49,i too am disappointed in the way they are handling their lives  being royal opens doors harry will never be king but his father will  the worst thing that could happen is bringing their baby to the united states better education in the uk they will not stay in canada,better worst disappointed,negative
50,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
51,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
52,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
53,your language is your vision into both the past and the future remember and never forget signing of peace and friendship treaty staged to educate people  cbc news,peace ,positive
54,our new education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide here for free,free reconciliation ,positive
55,our new education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide here for free,free reconciliation ,positive
56,our new education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide here for free,free reconciliation ,positive
57,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
58,our new education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide here for free,free reconciliation ,positive
59,yes but they also have a lot of issues because of it look at canada in the province of quebec for example there is a massive job vacancy issue education is free and immigrant come with skills so they cant find anyone to fill the other jobs who require less skills,free issue issues,negative
60,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
61,im in ontario canada  education minister just announced all schools in ontario closing until aptil 5th  my toddlers daycare amongst themshits getting scary, scary,negative
62,ubcpactra meetings in response to the ongoing concerns regarding the covid19 pandemic we are suspendingcancelling all scheduled member education courses and committee meetings until further notice stay uptodate through canadas public health website, concerns,negative
63,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
64,34 in that case you claim the extra points you can use this comparison table to see what your report means, ,neutral
65,canadian scientists make covid19 research breakthrough isolating virus   only in canada these kind of break throughs take intelligence education experience and most important a social environment that is supportive of innovation not greed,breakthrough supportive innovation intelligence important break greed virus,positive
66,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
67,our new education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide here for free,free reconciliation ,positive
68,our new education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide here for free,free reconciliation ,positive
69,the reenactment of the signing of a peace and friendship treaty was staged to educate people about the treaties of the 1700s via,peace ,positive
70,the reenactment of the signing of a peace and friendship treaty was staged to educate people about the treaties of the 1700s via,peace ,positive
71,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
72,meaning since you like researching and stats why dont you research the stats of pakistanis in us canada aus etc and see the numbers and how they outdo indians and everyone else in terms of education professionals money integration contribution etc,outdo like contribution ,positive
73,breaking the riverview park and zoo will be closed to the public as of saturday march 14 until further notice all park and zoo education programsevents as well as the use of all park and zoo facilities are suspended until further notice,well breaking,neutral
74,interested in a job in london on this could be a great fit click the link in our bio to apply clinical education manager  palliative tft 10 at von canada healthcare,great ,positive
75,education time ontario canada  this man is standing up for your rights  support him  or your freedom will be completely destroyed,freedom support ,positive
76,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
77,zico education seoul music high school attending and also tudied abroad in canada china and japan, ,neutral
78,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
79,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
80,discover how residential schools continue to affect indigenous communities in the present day in our revamped residential schools in canada history and legacy education guide download it for free today,free ,positive
81,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
82,is our new online portal built to support greek language education across canada for educators students amp parents its a onestop platform to connect to greek community groups amp events in your community try it out  video by tentoneproductions,support ,positive
83,is our new online portal built to support greek language education across canada for educators students amp parents its a onestop platform to connect to greek community groups amp events in your community try it out  video by tentoneproductions,support ,positive
84,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
85,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
86,top 10   sites to learn excel for free  sites for free online education  sites for your career  sites to review your resume for free  indemand jobs in canada in 2019  certificates in canada in 2019  sites for interview preparation  tech skills in demand in 2019  thread,free top excel ,positive
87,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
88,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
89,are you on canadas map of arts amp learning if so we want to hear from you how have you connected with others made partnerships or collaborated through using the map share your story with us here   artsed artseducation education learn learning, ,neutral
90,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
91,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
92,signing of peace and friendship treaty staged to educate people,peace ,positive
93,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
94,canadian scientists make covid19 research breakthrough isolating virus   only in canada these kind of break throughs take intelligence education experience and most important a social environment that is supportive of innovation not greed,breakthrough supportive innovation intelligence important break greed virus,positive
95,with the whole coronavirus in outbreak my university is one of few in canada that has not been closed down on top of this my tuition has gone up 7 help a sister out and please im begging you help me pay for my education and i will do anything,top begging outbreak,negative
96,most schools in ontario canada are closed because of covid19 rip my education, rip,negative
97,discover how residential schools continue to affect indigenous communities in the present day in our revamped residential schools in canada history and legacy education guide download it for free today,free ,positive
98,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
99,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
100,our new education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide here for free,free reconciliation ,positive
101,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
102,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
103,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
104,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
105,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
106,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
107,service canada does not make calls like that same scam as the cra education is best,best like scam,positive
108,canada does not have free tuition but university and college education is far more affordable than the us sweden offers free tuition but not without conditions but all of these were achieved by having consensus and strong government parties that made it happen,strong free affordable ,positive
109,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
110,signing of peace and friendship treaty staged to educate people,peace ,positive
111,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
112,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
113,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
114,canadian scientists make covid19 research breakthrough isolating virus   only in canada these kind of break throughs take intelligence education experience and most important a social environment that is supportive of innovation not greed,breakthrough supportive innovation intelligence important break greed virus,positive
115,well said sir  in canada we have moved beyond socialism into the realm of communism   we no longer have a free press freedom of speech is a myth amp those who practice it get targeted  education is nothing but feel good social sciences or divide amp conquer  nonconfidence2020,free good well freedom myth,positive
116,hey   if youre bored today you can come join this room of educators learning how to keep a student from kicking biting  punching using weapons etc just a normal day in education  nonviolentcrisisintervention, bored biting,negative
117,around discussions of closing schools amid covid19 concerns  its not an easy decision coronaviruscanada schoolclosure education,easy concerns,neutral
118,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
119,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
120,our new education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide here for free,free reconciliation ,positive
121,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
122,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
123,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
124,breaking the riverview park and zoo will be closed to the public as of saturday march 14 until further notice all park and zoo education programsevents as well as the use of all park and zoo facilities are suspended until further notice,well breaking,neutral
125,canadian scientists make covid19 research breakthrough isolating virus   only in canada these kind of break throughs take intelligence education experience and most important a social environment that is supportive of innovation not greed,breakthrough supportive innovation intelligence important break greed virus,positive
126,its ok saying for our children not to travel abroad but my daughters school has exchange students from canada arriving should they have not cancelled i am not a happy parent,happy ,positive
127,wait what indigenous ppl in canada face so many systemic barriers which prevent them from accessing education in what world does that blame get shifted back onto them, blame,negative
128,the biggest obstacles to genderequality are poverty healthcare education women and girls rights are an inalienable integral and indivisible part of all human rights and fundamental freedoms,freedoms integral poverty,positive
129,more proof ford and lecce are liars who cant be trusted 55000 ontario education workers signed a new deal with pcs last october now the government isnt upholding its end of the deal  canlab onted cutshurtkids onpoli,trusted liars,neutral
130,our revamped education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide for free here,free reconciliation ,positive
131,is that what level keigh teaches her children in the education system in canada, ,neutral
132,at the risk of selfpromotion the following book might be useful for small group games at home in case your schools are closed,useful risk,neutral
133,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
134,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
135,shes from canada what does she know of our public education system, ,neutral
136,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
137,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
138,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
139,direct income supports and transfers to individuals in canada amount to more than 10 of canadas gdp this excludes programs like health education and other government program spending,supports like ,positive
140,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
141,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
142,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
143,not sure youre thoughts are going to be on the race of your doctor when you are in icu on your last breath i agree canada should give free education in some sectors in need of more professionalsbut race or color shouldnt matter when quality of care is concerned,free concerned,neutral
144,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
145,great talking with     about opportunities for   educational institutions in nigeria the largest economy in subsaharan africa the 14000 nigerian students already in canada provide a strong base for continued growth in the education space,strong great ,positive
146,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
147,not sure youre thoughts are going to be on the race of your doctor when you are in icu on your last breath i agree canada should give free education in some sectors in need of more professionalsbut race or color shouldnt matter when quality of care is concerned,free concerned,neutral
148,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
149,canadian scientists make covid19 research breakthrough isolating virus   only in canada these kind of break throughs take intelligence education experience and most important a social environment that is supportive of innovation not greed,breakthrough supportive innovation intelligence important break greed virus,positive
150,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
151,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
152,washington is consistently rated at or near the top of all states in economy quality of life and education are we perfect no neither are denmark or canada but were certainly better than say west virginia and kentucky,consistently top better perfect ,positive
153,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
154,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
155,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
156,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
157,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
158,is that what level keigh teaches her children in the education system in canada, ,neutral
159,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
160,canadian scientists make covid19 research breakthrough isolating virus   only in canada these kind of break throughs take intelligence education experience and most important a social environment that is supportive of innovation not greed,breakthrough supportive innovation intelligence important break greed virus,positive
161,so i can tell by the comments that canadians are stupid enough to get a vaccine with the virus in them lol yet they dont want to catch the virus or test  for it like i said before canada 1 in education 1 in stupidity and 1 joke in the world,enough like joke stupid virus stupidity,negative
162,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
163,canadian scientists make covid19 research breakthrough isolating virus   only in canada these kind of break throughs take intelligence education experience and most important a social environment that is supportive of innovation not greed,breakthrough supportive innovation intelligence important break greed virus,positive
164,people need to vote both these premiers out in the next election its so disheartening to see these men try to dismantle all the positive work thats been done so far in canada we still have a long way to go and also issues such as health care and education need more support,work support positive disheartening issues,positive
165,the   needs your support to continue sponsoring refugee students the studentled club gives displaced students the opportunity to complete their education in canada and they need additional revenue to continue their important work learn more,support important work displaced,positive
166,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
167,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
168,sadly we cant even tell who is who in canada anymore real expat chinese looking for a better life or well funded globalization opportunists looking to funnel money outside of china via efforts lead by international student education,well better lead sadly,positive
169,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
170,our new education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide here for free,free reconciliation ,positive
171,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
172,canada 1 in education 1 in stupidity 1 in ignorance everytime   posts something the canadians eat it up like kraft dinner also 1 in most kraft dinner consumed per year embarrassing to be canadian,like ignorance stupidity embarrassing,negative
173,canadian scientists make covid19 research breakthrough isolating virus   only in canada these kind of break throughs take intelligence education experience and most important a social environment that is supportive of innovation not greed,breakthrough supportive innovation intelligence important break greed virus,positive
174,the signing of a peace and friendship treaty was reenacted in languages the original wabanaki signers would have appreciated at a gathering thursday aimed at educating people about the treaties of the 1700s,peace appreciated ,positive
175,our revamped education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide for free here,free reconciliation ,positive
176,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
177,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
178,see how   s powerful devices and tools work with our it solutions to help drive digitaltransformation  microsoftedu canada,powerful work ,positive
179,work and study in canada   snowfox is a canadian education consulting firm registered with the corporate affairs commission   no english exams ielts 100 guaranteed work permit accommodation support   oluwaseyi 09036962993  46 sangoeleyele road ibadan,work support ,positive
180,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
181,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
